long, lat, eventNumber
-34.3375,-77.8838,41028522
-34.3923,-77.8486,41096423
-34.1751,-77.8848,41103084
-34.8505,-77.837,41105836
-26.9766,-79.9409,41529195
-54.1918,-80.243,45230717
-60.754,-79.8503,45347745
-60.4,-79.8693,45529834
-60.719,-79.8827,45939795
-53.8764,-80.1933,47020283
-58.35,-78.824,47652140
-54.3888,-80.3663,47945569
-60.5966,-79.9735,48041706
-82.3585,-79.7742,48263636
-60.3463,-80.0291,48327549
-60.5932,-79.8384,48328652
-60.3578,-79.8966,48343500
-82.6763,-79.7626,48345056
-60.31,-79.839,48355793
-60.1741,-79.8374,48490134
-60.7735,-79.7661,48490177
-60.2936,-79.8789,48490375
-60.2094,-79.8683,48491496
-60.1539,-79.8617,48491733
-60.6471,-79.8747,48491993
-53.864,-80.4719,48494265
-60.9178,-79.9095,48506343
-60.2329,-79.8804,48509982
-60.1381,-79.912,48509994
-60.415,-79.8028,48510033
-60.3098,-79.8384,48510072
-60.0673,-79.937,48510130
-60.3365,-79.8712,48510239
-60.4886,-79.868,48510279
-60.4623,-79.8749,48510321
-60.2301,-79.8797,48510362
-60.1892,-79.9829,48510785
-60.3304,-79.9424,48510882
-60.2488,-79.8395,48518067
-60.4863,-79.8077,48518315
-60.2842,-79.8532,48518322
-60.3043,-79.8864,48518354
-60.2413,-79.9305,48543799
-55.2172,-80.1609,48578393
-60.113,-79.9703,48682312
-59.9087,-79.8968,48682479
-59.9157,-80.0202,48682532
-60.5684,-79.9194,48682545
-60.5107,-79.8853,48682551
-60.4602,-79.858,48694157
-60.2346,-79.9671,48694164
-60.4111,-79.8642,48694437
-59.7229,-80.0582,48694445
-60.7045,-79.8283,48694502
-60.2428,-79.8813,48706409
-82.365,-79.6821,48739907
-60.5665,-79.8924,48764991
-60.41,-79.8899,48801342
-60.8119,-79.9277,48824914
-60.2753,-80.0149,48851972
-60.9107,-79.853,48851991
-60.3149,-79.9284,48852045
-60.8331,-79.9349,48852073
-60.2411,-80.0083,48852653
-82.1848,-79.7813,48860949
-60.845,-79.9363,48863376
-60.7676,-79.8896,48863450
-81.9701,-79.6239,49042269
-81.5598,-79.6905,49131131
-81.0585,-79.6425,49322676
-81.4375,-79.6509,49957721
-83.3837,-79.7719,49959428
-81.505,-79.6766,49961851
-83.2507,-79.7637,49994609
-82.9269,-79.7305,50352835
-84.0138,-79.7598,50507608
-82.54,-79.7631,50509871
-82.0892,-79.651,50610601
-82.5904,-79.7163,50693319
-82.6757,-79.7214,50778773
-83.2112,-79.78,50967025
-82.9937,-79.7766,50967499
-83.5256,-79.8664,51493745
-83.1836,-79.795,51503120
-83.0714,-79.7205,51503195
-81.9162,-79.6967,51507962
-81.5888,-79.544,51600775
-83.0465,-79.7547,51667613
-82.6804,-79.7513,51705392
-82.4913,-79.656,51723893
-83.1279,-79.785,51739673
-82.6216,-79.7595,51740974
-83.0529,-79.798,51741106
-82.7069,-79.7436,51741325
-83.0936,-79.7924,51742565
-82.9899,-79.808,51742619
-83.7039,-79.9551,51862387
-83.0458,-79.785,51866256
-82.9412,-79.7182,52216556
-82.9123,-79.7796,52460259
-82.9556,-79.7094,52460286
-82.8634,-79.7821,52460287
-83.1742,-79.7658,52460503
-82.9981,-79.7753,52460507
-82.9047,-79.7805,52460517
-82.9789,-79.7214,52460519
-82.9259,-79.7116,52460524
-83.0021,-79.8021,52460546
-82.8781,-79.7816,52460561
-82.7205,-79.6592,52460564
-82.8386,-79.7562,52460603
-82.71,-79.672,52460607
-83.0016,-79.8022,52460616
-82.9321,-79.7243,52460620
-82.7568,-79.7481,52460656
-82.882,-79.7014,52460679
-82.815,-79.781,52460692
-82.7079,-79.6482,52490143
-82.8967,-79.7493,52490654
-83.1368,-79.7314,52490680
-83.0692,-79.8067,52490894
-82.7899,-79.7443,52491378
-82.8114,-79.6916,52491381
-82.7522,-79.6258,52491386
-83.0152,-79.7571,52491598
-82.997,-79.7716,52491648
-82.9008,-79.7865,52509131
-82.6542,-79.7274,52509167
-82.6071,-79.6671,52509206
-82.8115,-79.7284,52509306
-82.8739,-79.7875,52509314
-82.7333,-79.6703,52509326
-82.9106,-79.7597,52509356
-82.6798,-79.7119,52509369
-82.7543,-79.8229,52509544
-82.781,-79.7038,52534127
-82.9635,-79.7189,52550445
-82.8247,-79.7728,52550472
-82.4355,-79.6212,52552222
-82.5831,-79.6738,52552223
-82.9697,-79.8062,52579252
-83.0017,-79.8293,52616730
-82.9358,-79.8157,52654508
-82.7764,-79.7533,52674748
-82.6828,-79.7846,52678278
-83.0521,-79.8115,52678614
-82.6046,-79.7813,52678694
-82.8854,-79.5395,52696123
-83.2176,-79.76,52697773
-82.9146,-79.72,52697939
-82.7243,-79.6512,52698092
-82.9158,-79.7813,52698259
-82.975,-79.6232,52698537
-82.9228,-79.7705,52698548
-83.0986,-79.6647,52698949
-82.8945,-79.6363,52698996
-82.786,-79.7174,52701394
-83.216,-79.7396,52703226
-82.8234,-79.7293,52726098
-82.9266,-79.7862,52726174
-82.7699,-79.6554,52726180
-82.9042,-79.7872,52726188
-82.8718,-79.6899,52726250
-82.8996,-79.7471,52726291
-82.7301,-79.6849,52726414
-82.9282,-79.7463,52726484
-82.7261,-79.7446,52726486
-82.9438,-79.7357,52726493
-82.9729,-79.7157,52726497
-83.0904,-79.8097,52726498
-82.9367,-79.7862,52726499
-82.9137,-79.7664,52726506
-82.9239,-79.787,52726508
-82.7879,-79.7027,52726511
-82.9555,-79.7753,52726513
-82.9207,-79.7871,52726514
-82.9203,-79.7871,52726516
-82.8324,-79.749,52726597
-82.8325,-79.7404,52726599
-82.9428,-79.7666,52726661
-82.9828,-79.7856,52726672
-82.7658,-79.6846,52726711
-82.9539,-79.746,52726712
-82.8418,-79.6825,52726753
-83.0224,-79.7845,52726763
-82.9092,-79.7476,52726781
-82.886,-79.6907,52726805
-82.8715,-79.8542,52726819
-83.0908,-79.8105,52740443
-82.9234,-79.7018,52741262
-86.0276,-78.5218,52782783
-86.1177,-78.5274,52782788
-85.9281,-78.5346,52782994
-86.0876,-78.5383,52783003
-82.9873,-79.7939,52796705
-82.9899,-79.8262,52796742
-82.892,-79.6966,52797336
-82.9096,-79.7404,52797415
-83.012,-79.7854,52797842
-82.8251,-79.8445,52797924
-82.9809,-79.758,52797950
-83.0205,-79.8228,52797978
-82.7526,-79.7455,52797981
-82.834,-79.7433,52797984
-82.8609,-79.7884,52798011
-82.8766,-79.7059,52798013
-82.9387,-79.7773,52798035
-82.9423,-79.7942,52798036
-82.7924,-79.7705,52798040
-83.1072,-79.7937,52798043
-83.0962,-79.8029,52798065
-83.0854,-79.8032,52798070
-82.8831,-79.7888,52798078
-82.9706,-79.7861,52798094
-82.7831,-79.7448,52798130
-82.898,-79.7416,52798386
-83.0015,-79.7478,52798414
-83.0568,-79.6656,52798475
-82.9892,-79.7525,52801365
-86.0293,-78.566,52811348
-86.2323,-78.5784,52811585
-85.9156,-78.501,52814699
-85.9217,-78.4986,52814713
-82.8928,-79.7175,52827006
-82.7726,-79.7643,52827013
-82.8841,-79.6642,52827174
-82.9689,-79.6719,52827471
-83.2852,-79.7434,52827625
-83.0157,-79.7067,52827804
-85.8317,-78.5215,52837088
-86.0863,-78.5378,52837722
-86.0468,-78.5269,52850358
-86.1106,-78.5373,52850630
-86.0731,-78.5483,52852570
-82.9359,-79.7877,52885573
-83.0187,-79.7104,52885618
-82.9749,-79.8277,52885632
-82.78,-79.7144,52885647
-82.9791,-79.7974,52885654
-83.0486,-79.7893,52885670
-83.0564,-79.7097,52885672
-82.7442,-79.7574,52885674
-82.9679,-79.8159,52885676
-82.8963,-79.7468,52885678
-82.9688,-79.8278,52885705
-82.9443,-79.8166,52885710
-82.7681,-79.7937,52885717
-82.9804,-79.7195,52885718
-82.9651,-79.7714,52885739
-82.8831,-79.7964,52885746
-82.7381,-79.6811,52885749
-82.8201,-79.7915,52885752
-82.8764,-79.7723,52885764
-82.9988,-79.7802,52885765
-82.97,-79.7032,52885766
