long, lat, eventNumber
166.97,-78.0004,7119286
166.799,-78.0797,7133669
166.964,-78.0015,7360439
166.994,-78.004,7360579
166.267,-78.1186,10309101
166.407,-78.0466,10309111
168.151,-77.7652,10309121
165.974,-78.1569,10309140
168.893,-77.3564,10309151
166.918,-78.035,10309154
169.155,-77.3985,10309157
170.493,-77.0612,10309179
169.222,-77.4095,10309183
166.605,-78.0827,10309199
165.922,-78.1481,10309201
166.648,-78.0906,10309245
166.051,-78.1707,10309248
166.18,-78.1038,10309260
167.023,-78.1379,71856074
167,-78.1371,71856085
167.141,-78.0352,71856090
166.611,-78.4476,71856101
166.738,-78.1281,71856115
166.977,-78.2545,71856123
167.108,-78.1403,71856124
166.706,-78.3097,71856130
166.8,-78.6786,71856163
167.061,-78.0845,71856208
167.072,-78.1392,71856219
167.088,-78.1396,71856221
167.167,-78.0359,71856232
167.087,-78.1395,71856249
166.999,-78.3192,71856309
167.186,-78.0882,71856321
167.015,-78.031,71856352
166.91,-78.1339,71856361
166.809,-78.4539,71856362
166.945,-78.2412,72118157
166.774,-78.3707,72118192
166.69,-78.2992,72118265
166.858,-78.3053,72118824
166.677,-78.3012,72119774
166.966,-78.0702,72119812
166.95,-78.2443,72134131
167.186,-78.1303,72135100
166.828,-78.3056,72135349
166.973,-78.3784,72135411
166.876,-78.3755,72137515
167.097,-78.0207,72137537
166.921,-78.1813,72137708
166.793,-78.3758,72149904
167.178,-78.0768,72150123
167.213,-78.0774,72150127
167,-78.0728,72150149
167.232,-78.0779,72150191
167.115,-78.0235,72150810
167.003,-78.2467,72150890
167.086,-78.1299,72151163
167.208,-78.0775,72151175
166.931,-78.1841,72151291
167.048,-78.0743,72151316
167.052,-78.0221,72151336
166.846,-78.3775,72151371
167.187,-78.0773,72151385
167.114,-78.0757,72151395
166.903,-78.1835,72151474
166.827,-78.3771,72151616
166.969,-78.0726,72151702
166.912,-78.1838,72151773
166.938,-78.1266,72151815
166.992,-78.0731,72151868
167.277,-78.0271,72151877
166.929,-78.0716,72151968
166.889,-78.3791,72152009
167.316,-78.3881,72152042
166.998,-78.2472,72152089
166.792,-78.1811,72152192
166.921,-78.7921,72152350
166.822,-78.4514,72152465
166.938,-78.2464,72152604
166.971,-78.0733,72152717
164.714,-75.2985,72160451
164.392,-75.3815,72176194
164.477,-75.3321,72177581
164.626,-75.3003,72177996
169.751,-73.6496,72272620
169.724,-73.6442,72272866
169.724,-73.6442,72272867
169.761,-73.6275,72272939
169.783,-73.6343,72272949
164.083,-74.6963,72394384
166.716,-78.0431,72444791
166.927,-78.3938,72518837
164.105,-74.687,72567413
164.094,-74.6891,72567453
164.071,-74.6835,72568192
164.081,-74.6855,72568335
164.073,-74.6879,72568774
164.091,-74.6889,72568920
